Row_Id,Date of Update,Tax Year,County,Number of Returns,Total Number of Exemptions (thousands of dollars),Total Adjusted Gross Income (thousands of dollars),Total Oregon Adjustments: Additions (thousands of dollars),Total Oregon Adjustments: Federal Tax Subtraction (thousands of dollars),Total Oregon Adjustments: Other Subtractions (thousands of dollars),Total Deductions (thousands of dollars),Total Taxable Income (thousands of dollars),Total Gross Tax (thousands of dollars),Total Credits (thousands of dollars),Total Net Tax (thousands of dollars),Average Number of Exemptions,Average Adjusted Gross Income (dollars),Average Oregon Adjustments: Additions (dollars),Average Oregon Adjustments: Federal Tax Subtraction (dollars),Average Oregon Adjustments: Other Subtractions (dollars),Average Deductions (dollars),Average Taxable Income (dollars),Average Gross Tax (dollars),Average Credits (dollars),Average Net Tax (dollars),Tax as Percent of AGI (%),Tax as Percent of Taxable Income (%),Return Type: Single (Number),Return Type: Single (%),Return Type: Joint (Number),Return Type: Joint  (%),Return Type: Separate (Number),Return Type: Separate (%),Return Type: Head Household (Number),Return Type: Head Household (%),Return Type: Itemized (Number),Return Type: Itemized (%),"Return Type: 
Full-Year 
(Number)","Return Type: 
Full-Year 
(%)",Return Type: Part-Year (Number),Return Type: Part-Year (%),Return Type: Nonresident (Number),Return Type: Nonresident (%),Full Year Returns: Number of Returns,Full Year Returns: Total Adjusted Gross Income (thousands of dollars),"Full Year Returns: Total Wages, Salaries, Tips (thousands of dollars)",Full Year Returns: Total Taxable Dividends and Interest (thousands of dollars),Full Year Returns: Total Business Income (thousands of dollars),Full Year Returns: Total Capital Gains (thousands of dollars),Full Year Returns: Total Taxable Pensions (thousands of dollars),"Full Year Returns: Total Schedule E Income (thousands of dollars, this includes: rental real estate, royalties, partnerships, S corporations, and trusts)",Full Year Returns: Total Farm Income (thousands of dollars),"Full Year Returns: Total All Other Income (thousands of dollars, this includes: taxable state income tax refunds, alimony received, unemployment compensation, and other income)",Full Year Returns: Total Adjustments (thousands of dollars),Exception Notes
23,"Jul 01, 2006",2004,Lane,139629,268981,6042740,19880,229816,285754,1079438,4607339,382025,45301,337874,1.9,43277,142,1646,2047,7731,32997,2736,324,2420,0.056,0.073,63998,0.458,59400,0.425,1819,0.013,14329,0.103,67663,0.485,135550,0.971,3317,0.024,762,0.005,135550,5977556,3966710,266209,225792,392776,755101,445336,-16436,51843,109775,
24,"Jul 01, 2006",2004,Lincoln,18695,35163,709046,2028,28545,53114,143117,507039,41449,5835,35746,1.9,37927,109,1527,2841,7655,27122,2217,312,1912,0.05,0.071,8229,0.44,8230,0.44,244,0.013,1986,0.106,9287,0.497,17994,0.963,604,0.032,97,0.005,17994,698860,393322,36628,48027,51218,141515,37063,-1875,8387,15427,
25,"Jul 01, 2006",2004,Linn,44589,94874,1826167,3361,74991,84355,334480,1374825,112701,15442,97531,2.1,40956,75,1682,1892,7501,30833,2528,346,2187,0.053,0.071,17069,0.383,22236,0.499,550,0.012,4708,0.106,22782,0.511,43749,0.981,710,0.016,130,0.003,43749,1813766,1326567,59107,51518,73078,224982,83505,-6411,27166,25746,
26,"Jul 01, 2006",2004,Malheur,9649,22273,310631,1101,11699,16441,57042,245612,19711,5292,14521,2.3,32193,114,1212,1704,5912,25455,2043,549,1505,0.047,0.059,3414,0.354,4805,0.498,95,0.01,1326,0.137,3859,0.4,9314,0.965,205,0.021,130,0.013,9314,305990,216567,14500,14731,24802,41705,14522,-8909,-6172,5756,
27,"Jul 01, 2006",2004,Marion,117554,254994,4895799,10631,189887,231930,908675,3706014,304472,43458,262354,2.2,41647,90,1615,1973,7730,31526,2590,370,2232,0.054,0.071,47890,0.407,51710,0.44,1561,0.013,16332,0.139,57761,0.491,115434,0.982,1789,0.015,331,0.003,115434,4862521,3426502,180655,151980,250584,654592,240499,-10267,40350,72374,
28,"Jul 01, 2006",2004,Morrow,3965,9846,136396,215,5575,6482,23188,109314,8801,1627,7208,2.5,34400,54,1406,1635,5848,27570,2220,410,1818,0.053,0.066,1296,0.327,2029,0.512,42,0.011,593,0.15,1618,0.408,3890,0.981,65,0.016,10,0.003,3890,134768,108557,3521,3167,5729,14868,4702,-1151,-2351,2274,
29,"Jul 01, 2006",2004,Multnomah,299063,553061,14275077,35988,542724,529723,2568966,11071429,928405,97400,833578,1.8,47733,120,1815,1771,8590,37020,3104,326,2787,0.058,0.075,157692,0.527,104197,0.348,4090,0.014,32910,0.11,148354,0.496,288786,0.966,8634,0.029,1643,0.005,288786,14003341,10044756,616870,585470,919197,1265690,771756,-7197,63641,256842,
30,"Jul 01, 2006",2004,Other,48632,93064,1215171,32923,35713,115594,220330,1054186,87658,9511,78272,1.9,24987,677,734,2377,4531,21677,1803,196,1610,0.064,0.074,23303,0.479,21280,0.438,1586,0.033,2448,0.05,21592,0.444,10466,0.215,14548,0.299,23618,0.486,10466,401285,263201,42176,5130,46264,38340,10818,-786,2236,6094,
31,"Jul 01, 2006",2004,Other Washington,31051,69529,816854,3116,29560,48500,145340,771991,63449,5574,57945,2.2,26307,100,952,1562,4681,24862,2043,180,1866,0.071,0.075,11363,0.366,16754,0.54,500,0.016,2416,0.078,16767,0.54,3138,0.101,4834,0.156,23079,0.743,3138,112131,70280,6817,3186,9100,13473,9668,148,1092,1633,
32,"Jul 01, 2006",2004,Polk,25795,54879,1152654,2649,44970,63541,222682,848143,70028,9007,61227,2.1,44685,103,1743,2463,8633,32880,2715,349,2374,0.053,0.072,10009,0.388,12723,0.493,340,0.013,2707,0.105,14059,0.545,25179,0.976,522,0.02,94,0.004,25179,1140957,781359,43910,38369,68254,179476,33485,-6258,20566,18205,
