Row_Id,Date of Update,Tax Year,County,Number of Returns,Total Number of Exemptions (thousands of dollars),Total Adjusted Gross Income (thousands of dollars),Total Oregon Adjustments: Additions (thousands of dollars),Total Oregon Adjustments: Federal Tax Subtraction (thousands of dollars),Total Oregon Adjustments: Other Subtractions (thousands of dollars),Total Deductions (thousands of dollars),Total Taxable Income (thousands of dollars),Total Gross Tax (thousands of dollars),Total Credits (thousands of dollars),Total Net Tax (thousands of dollars),Average Number of Exemptions,Average Adjusted Gross Income (dollars),Average Oregon Adjustments: Additions (dollars),Average Oregon Adjustments: Federal Tax Subtraction (dollars),Average Oregon Adjustments: Other Subtractions (dollars),Average Deductions (dollars),Average Taxable Income (dollars),Average Gross Tax (dollars),Average Credits (dollars),Average Net Tax (dollars),Tax as Percent of AGI (%),Tax as Percent of Taxable Income (%),Return Type: Single (Number),Return Type: Single (%),Return Type: Joint (Number),Return Type: Joint  (%),Return Type: Separate (Number),Return Type: Separate (%),Return Type: Head Household (Number),Return Type: Head Household (%),Return Type: Itemized (Number),Return Type: Itemized (%),"Return Type: 
Full-Year 
(Number)","Return Type: 
Full-Year 
(%)",Return Type: Part-Year (Number),Return Type: Part-Year (%),Return Type: Nonresident (Number),Return Type: Nonresident (%),Full Year Returns: Number of Returns,Full Year Returns: Total Adjusted Gross Income (thousands of dollars),"Full Year Returns: Total Wages, Salaries, Tips (thousands of dollars)",Full Year Returns: Total Taxable Dividends and Interest (thousands of dollars),Full Year Returns: Total Business Income (thousands of dollars),Full Year Returns: Total Capital Gains (thousands of dollars),Full Year Returns: Total Taxable Pensions (thousands of dollars),"Full Year Returns: Total Schedule E Income (thousands of dollars, this includes: rental real estate, royalties, partnerships, S corporations, and trusts)",Full Year Returns: Total Farm Income (thousands of dollars),"Full Year Returns: Total All Other Income (thousands of dollars, this includes: taxable state income tax refunds, alimony received, unemployment compensation, and other income)",Full Year Returns: Total Adjustments (thousands of dollars),Exception Notes
378,"Jul 01, 2015",2013,Crook,8284,17296,357401,1936,17015,37895,66936,263325,21409,3345,18201,2.1,43144,234,2054,4574,8080,31787,2584,404,2197,0.051,0.069,3038,0.367,4323,0.522,150,0.018,769,0.093,4051,0.489,8108,0.979,144,0.017,32,0.004,8108,354483,224785,13087,12578,18958,89708,15714,-7239,-6320,6789,
379,"Jul 01, 2015",2013,Curry,9264,17491,388611,3131,17683,44920,75712,277794,22807,3367,19564,1.9,41949,338,1909,4849,8173,29986,2462,364,2112,0.05,0.07,4170,0.45,4185,0.452,117,0.013,786,0.085,4222,0.456,8907,0.961,283,0.031,74,0.008,8907,381195,193705,15397,18957,18392,115014,28911,-728,-531,7922,
380,"Jul 01, 2015",2013,Deschutes,73797,145844,4209723,39350,164596,314175,707445,3279324,278413,31751,247788,2,57045,533,2230,4257,9586,44437,3773,430,3358,0.059,0.076,32297,0.438,33572,0.455,1157,0.016,6740,0.091,37507,0.508,70761,0.959,2562,0.035,474,0.006,70761,4127886,2412512,226439,179787,279858,788475,385692,-15409,-30249,99219,
381,"Jul 01, 2015",2013,Douglas,41431,84289,1801451,12103,82791,170906,308327,1322511,108020,18177,90548,2,43481,292,1998,4125,7442,31921,2607,439,2186,0.05,0.068,16869,0.407,19272,0.465,634,0.015,4630,0.112,18288,0.441,40493,0.977,802,0.019,136,0.003,40493,1783447,1133804,52322,54854,97633,408110,72820,-12490,4375,27980,
382,"Jul 01, 2015",2013,Gilliam,767,1546,38460,151,1951,3358,4973,29177,2403,310,2103,2,50143,197,2544,4378,6484,38041,3133,405,2743,0.055,0.072,313,0.408,370,0.482,15,0.02,69,0.09,317,0.413,748,0.975,19,0.025,,,748,38079,24004,1292,400,1226,6722,4907,416,139,1028,"Return Type: Nonresident (Number) is CP, Return Type: Nonresident (%) is CP,"
383,"Jul 01, 2015",2013,Grant,2816,5647,113074,326,5711,12000,20669,85545,6944,1119,5870,2,40154,116,2028,4262,7340,30378,2466,397,2085,0.052,0.069,1166,0.414,1406,0.499,37,0.013,206,0.073,1257,0.446,2732,0.97,65,0.023,19,0.007,2732,111189,73929,4394,3234,7374,27421,5311,-4392,-3817,2265,
384,"Jul 01, 2015",2013,Harney,2790,5844,97599,482,4603,9357,17654,76230,6125,1092,5078,2.1,34982,173,1650,3354,6328,27323,2195,391,1820,0.052,0.067,1130,0.405,1391,0.499,23,0.008,244,0.087,1165,0.418,2706,0.97,73,0.026,11,0.004,2706,96284,68208,3116,2838,10414,21884,1401,-4821,-4652,2103,
385,"Jul 01, 2015",2013,Hood River,10643,22979,554261,5968,22560,32177,83176,444441,37076,5431,31807,2.2,52078,561,2120,3023,7815,41759,3484,510,2989,0.057,0.072,4505,0.423,4536,0.426,137,0.013,1462,0.137,4464,0.419,10246,0.963,284,0.027,113,0.011,10246,545229,364759,28781,26958,21494,71681,43583,2963,1508,16499,
386,"Jul 01, 2015",2013,Idaho,12909,30784,321077,1586,13039,27567,52397,277999,22246,3272,19090,2.4,24872,123,1010,2136,4059,21535,1723,254,1479,0.059,0.069,4612,0.357,6998,0.542,114,0.009,1180,0.091,6383,0.494,894,0.069,1661,0.129,10354,0.802,894,32907,19539,1393,933,3128,5888,2225,-175,550,574,
387,"Jul 01, 2015",2013,Jackson,88430,176907,4270584,26273,179949,351041,752698,3186514,264453,36651,229467,2,48293,297,2035,3970,8512,36034,2991,415,2595,0.054,0.072,39188,0.443,37345,0.422,1418,0.016,10439,0.118,40092,0.453,85825,0.971,2187,0.025,418,0.005,85825,4215266,2576225,166734,203748,178238,848592,314984,-13330,30138,90062,
388,"Jul 01, 2015",2013,Jefferson,8709,19138,339322,1814,15558,55504,61033,232777,18747,3586,15455,2.2,38962,208,1786,6373,7008,26728,2153,412,1775,0.046,0.066,3305,0.379,3875,0.445,153,0.018,1373,0.158,3532,0.406,8523,0.979,152,0.017,34,0.004,8523,336624,225428,9015,7775,11320,78121,14687,-1994,-1571,6156,
389,"Jul 01, 2015",2013,Josephine,32441,65066,1369658,8079,59138,142420,245885,992463,81189,13443,68385,2,42220,249,1823,4390,7579,30593,2503,414,2108,0.05,0.069,13667,0.421,14753,0.455,492,0.015,3510,0.108,14466,0.446,31498,0.971,803,0.025,140,0.004,31498,1352814,778910,51957,61252,40640,332730,108241,-4256,10291,26952,
390,"Jul 01, 2015",2013,Klamath,25124,51629,1048128,4197,49418,102979,175140,784622,63725,10106,54071,2.1,41718,167,1967,4099,6971,31230,2536,402,2152,0.052,0.069,10397,0.414,11253,0.448,389,0.015,3075,0.122,10506,0.418,24391,0.971,580,0.023,153,0.006,24391,1033508,702998,26550,26975,33469,225729,48752,-9888,-3504,17573,
391,"Jul 01, 2015",2013,Lake,2975,6088,117338,664,5742,11385,20134,90508,7343,1175,6204,2,39442,223,1930,3827,6768,30423,2468,395,2085,0.053,0.069,1192,0.401,1466,0.493,43,0.014,274,0.092,1195,0.402,2866,0.963,80,0.027,29,0.01,2866,114957,75604,4659,2893,11578,24841,5126,-3531,-3515,2699,
392,"Jul 01, 2015",2013,Lane,147537,282134,7670679,46175,324727,563596,1186213,5807435,486866,63768,425383,1.9,51992,313,2201,3820,8040,39363,3300,432,2883,0.055,0.073,70850,0.48,59065,0.4,2321,0.016,15208,0.103,66632,0.452,143428,0.972,3270,0.022,839,0.006,143428,7596778,4798162,244585,248028,360420,1332949,633064,-11262,136452,145619,
393,"Jul 01, 2015",2013,Lincoln,19364,36736,888754,4809,40017,92741,161369,635847,52411,7565,45141,1.9,45897,248,2067,4789,8334,32837,2707,391,2331,0.051,0.071,8849,0.457,8108,0.419,345,0.018,2052,0.106,9017,0.466,18709,0.966,562,0.029,93,0.005,18709,874927,475177,27996,48316,44114,227594,58371,-2211,13730,18160,
394,"Jul 01, 2015",2013,Linn,47638,100398,2198373,7960,105085,163496,362305,1625201,132700,21901,111564,2.1,46148,167,2206,3432,7605,34116,2786,460,2342,0.051,0.069,19864,0.417,21750,0.457,716,0.015,5275,0.111,22103,0.464,46714,0.981,808,0.017,116,0.002,46714,2184230,1535586,46992,53926,60718,377988,103306,-5008,42050,31328,
395,"Jul 01, 2015",2013,Malheur,9875,22895,372402,2668,15839,29670,62934,290976,23350,5987,17601,2.3,37712,270,1604,3005,6373,29466,2365,606,1782,0.047,0.06,3746,0.379,4472,0.453,102,0.01,1551,0.157,3621,0.367,9525,0.965,227,0.023,123,0.012,9525,365313,253039,10809,12563,21566,65077,26029,-6023,-9463,8284,
396,"Jul 01, 2015",2013,Marion,128625,282964,6489377,23703,275270,439723,1037797,4915047,407674,67048,343209,2.2,50452,184,2140,3419,8068,38212,3170,521,2668,0.053,0.07,54275,0.422,53208,0.414,1857,0.014,19218,0.149,56576,0.44,126273,0.982,1967,0.015,385,0.003,126273,6424760,4259470,148942,164255,383448,1121809,336026,-2017,107039,94211,
397,"Jul 01, 2015",2013,Morrow,4307,10852,199519,1152,8915,13011,26302,161177,13199,2158,11110,2.5,46324,268,2070,3021,6107,37422,3064,501,2580,0.056,0.069,1486,0.345,1993,0.463,54,0.013,771,0.179,1650,0.383,4220,0.98,66,0.015,21,0.005,4220,197823,144017,3083,2940,6528,26970,15478,-82,3115,4227,
398,"Jul 01, 2015",2013,Multnomah,348084,636453,21241605,97448,859626,941832,3003072,16993022,1454610,144841,1314417,1.8,61024,280,2470,2706,8627,48819,4179,416,3776,0.062,0.077,192038,0.552,114768,0.33,6239,0.018,34894,0.1,154460,0.444,333378,0.958,12413,0.036,2293,0.007,333378,20833800,14779143,679170,918511,993034,2242692,1356081,-6018,273135,401949,
399,"Jul 01, 2015",2013,Other,67696,133344,1740443,49089,56139,267732,377240,1483472,125722,13607,112603,2,25710,725,829,3955,5573,21914,1857,201,1663,0.065,0.076,32011,0.473,30417,0.449,2017,0.03,3236,0.048,31102,0.459,12141,0.179,18514,0.273,37041,0.547,12141,520702,385231,42565,4183,38669,64114,28902,-584,-32526,9853,
400,"Jul 01, 2015",2013,Other Washington,41185,91191,1296964,6155,48550,95755,205752,1132891,94017,7753,86555,2.2,31491,150,1179,2325,4996,27507,2283,188,2102,0.067,0.076,16224,0.394,20850,0.506,594,0.014,3504,0.085,20541,0.499,3580,0.087,5790,0.141,31815,0.772,3580,134315,91361,5934,3335,8038,22018,6183,-399,66,2221,
401,"Jul 01, 2015",2013,Polk,30563,65954,1640655,8448,74357,135359,275671,1203457,99566,13340,86680,2.2,53681,276,2433,4429,9020,39376,3258,437,2836,0.053,0.072,12348,0.404,14477,0.474,438,0.014,3280,0.107,15436,0.505,29861,0.977,579,0.019,123,0.004,29861,1629453,1083447,36988,45889,43443,342903,82738,-4941,25353,26367,
402,"Jul 01, 2015",2013,Sherman,801,1493,43936,351,1984,3483,5045,34692,2902,295,2616,1.9,54852,439,2477,4349,6299,43311,3623,368,3266,0.06,0.075,382,0.477,366,0.444,,0.012,53,0.066,303,0.378,782,0.976,19,0.024,,,782,43392,20243,1240,838,1431,6757,8289,6372,496,2274,"Return Type: Separate (Number) is CJ, Return Type: Nonresident (Number) is CP, Return Type: Nonresident (%) is CP,"
403,"Jul 01, 2015",2013,Tillamook,10766,21364,472676,9806,21997,47099,88047,342280,27922,4451,23611,2,43905,911,2043,4375,8178,31793,2594,414,2193,0.05,0.069,4732,0.44,4900,0.455,164,0.015,968,0.09,5043,0.468,10523,0.977,199,0.018,44,0.004,10523,467478,273656,16912,21464,24316,118849,23527,300,6437,17983,
404,"Jul 01, 2015",2013,Umatilla,28893,64390,1311259,6627,60105,106249,189808,1000749,81671,13528,68811,2.2,45383,229,2080,3677,6569,34636,2827,468,2382,0.052,0.069,11289,0.391,12000,0.415,421,0.015,5158,0.179,11609,0.402,28068,0.971,640,0.022,185,0.006,28068,1295952,934422,25085,33870,29450,197778,85739,-3522,16327,23195,
405,"Jul 01, 2015",2013,Union,10589,21789,476090,1925,22792,43172,74711,356070,29084,4499,24744,2.1,44961,182,2153,4077,7056,33626,2747,425,2337,0.052,0.069,4546,0.429,5041,0.476,127,0.012,868,0.082,4731,0.447,10320,0.975,217,0.02,52,0.005,10320,470613,319781,12319,13288,13824,90739,33187,-5586,2935,9875,
406,"Jul 01, 2015",2013,Wallowa,3116,6031,123483,1638,5978,14719,23383,91036,7374,1318,6096,1.9,39629,526,1918,4724,7504,29216,2367,423,1956,0.049,0.067,1307,0.419,1576,0.506,44,0.014,189,0.061,1499,0.481,3022,0.97,69,0.022,25,0.008,3022,122140,71320,6570,4532,7875,32651,9498,-3712,-2364,4230,
407,"Jul 01, 2015",2013,Wasco,10229,21216,459871,3473,20522,39210,75098,342166,27977,4615,23565,2.1,44958,340,2006,3833,7342,33451,2735,451,2304,0.051,0.069,4371,0.427,4338,0.424,145,0.014,1370,0.134,4371,0.427,9948,0.973,227,0.022,54,0.005,9948,453878,295579,12931,13823,11545,87297,36351,2069,5316,11033,
408,"Jul 01, 2015",2013,Washington,242144,503907,16640088,56419,667636,744512,2403833,13175112,1123913,104509,1022375,2.1,68720,233,2757,3075,9927,54410,4642,432,4222,0.061,0.078,108961,0.45,103796,0.429,3976,0.016,25288,0.104,119205,0.492,232997,0.962,7769,0.032,1378,0.006,232997,16323669,12324811,583111,497493,495218,1674154,838702,-8208,171789,253400,
409,"Jul 01, 2015",2013,Wheeler,508,996,19094,529,879,2194,3651,16976,1436,191,1253,2,37587,1042,1731,4318,7188,33417,2826,375,2466,0.066,0.074,195,0.384,280,0.539,,0.012,33,0.065,213,0.419,500,0.984,8,0.012,,,500,19036,10727,633,631,2364,5183,5258,-2251,-2593,917,"Return Type: Separate (Number) is CJ, Return Type: Nonresident (Number) is CP, Return Type: Nonresident (%) is CP,"
410,"Jul 01, 2015",2013,Yamhill,39864,86691,2156948,11829,92918,148216,355496,1628728,135464,18906,117141,2.2,54108,297,2331,3718,8918,40857,3398,474,2939,0.054,0.072,16146,0.405,18398,0.462,599,0.015,4700,0.118,19310,0.484,39035,0.979,673,0.017,156,0.004,39035,2139467,1475194,62609,68052,72198,337940,141185,-7492,27403,37623,
411,"Jul 01, 2016",2014,Baker,6325,12615,272452,1083,13124,29653,44664,205512,16796,2662,14272,2,43076,171,2075,4688,7062,32492,2656,421,2256,0.052,0.069,2724,0.431,2959,0.468,83,0.013,555,0.088,2806,0.444,6156,0.973,134,0.021,35,0.006,6156,269184,165884,10971,4645,23380,69442,15932,-4554,-11083,5433,
412,"Jul 01, 2016",2014,Benton,36069,66620,2305759,11158,92208,163587,314701,1781919,151652,15021,137011,1.8,63926,309,2556,4535,8725,49403,4205,417,3799,0.059,0.077,18129,0.503,15116,0.419,571,0.016,2231,0.062,16764,0.465,34298,0.951,1140,0.032,631,0.017,34298,2271157,1418639,88401,77057,149255,434490,124524,-3529,21269,38951,
413,"Jul 01, 2016",2014,California,37669,74860,1078676,52929,23429,80138,183550,1073644,94368,32175,62429,2,28636,1405,622,2127,4873,28502,2505,854,1657,0.058,0.058,17459,0.463,16836,0.447,989,0.026,2366,0.063,19806,0.526,5124,0.136,6761,0.179,25784,0.684,5124,346155,184539,17972,12110,86666,33608,21263,-378,-4953,4674,
414,"Jul 01, 2016",2014,Clackamas,178267,358102,13479971,74560,494504,757947,1948846,10727594,928838,84934,846188,2,75617,418,2774,4252,10932,60177,5210,476,4747,0.063,0.079,79623,0.447,79427,0.446,3050,0.017,16062,0.09,94133,0.528,173432,0.973,4068,0.023,767,0.004,173432,13309254,8772113,421990,471683,759910,1858386,1296130,-21578,-8266,241113,
415,"Jul 01, 2016",2014,Clark Co WA,65523,156199,2822225,4416,129694,54708,367719,2347801,192874,21417,172130,2.4,43072,67,1979,835,5612,35832,2944,327,2627,0.061,0.073,23787,0.363,33220,0.507,797,0.012,7695,0.117,32535,0.497,2497,0.038,3143,0.048,59883,0.914,2497,124478,82852,4369,2796,7216,12297,15009,-156,2124,2028,
416,"Jul 01, 2016",2014,Clatsop,16063,30891,783478,4984,36037,69260,124389,579365,47838,6534,41609,1.9,48775,310,2244,4312,7744,36068,2978,407,2590,0.053,0.072,7624,0.475,6470,0.403,265,0.016,1699,0.106,7050,0.439,15357,0.956,513,0.032,193,0.012,15357,770276,466089,22801,39098,34789,163794,55676,-1221,5997,16747,
417,"Jul 01, 2016",2014,Columbia,20500,42529,1168503,2061,57367,77230,171608,881653,73321,8808,64817,2.1,57000,101,2798,3767,8371,43007,3577,430,3162,0.055,0.074,8358,0.408,9744,0.475,317,0.015,2067,0.101,10716,0.523,20032,0.977,372,0.018,96,0.005,20032,1154788,820260,19195,27769,40301,208955,39080,-5007,18008,13773,
418,"Jul 01, 2016",2014,Coos,24840,48814,1111415,5618,50975,106212,180316,818753,67082,10407,57174,2,44743,226,2052,4276,7259,32961,2701,419,2302,0.051,0.07,10962,0.441,10697,0.431,449,0.018,2719,0.109,10573,0.426,24084,0.97,614,0.025,142,0.006,24084,1097092,656380,33224,56244,48484,258500,64954,-3834,6685,23544,
419,"Jul 01, 2016",2014,Crook,8621,17823,402337,2019,18598,39309,69426,295886,24239,3638,20763,2.1,46669,234,2157,4560,8053,34322,2812,422,2409,0.052,0.07,3316,0.385,4358,0.506,143,0.017,802,0.093,4071,0.472,8405,0.975,184,0.021,32,0.004,8405,397570,244360,13874,13327,36327,96780,16270,-6794,-9417,7156,
420,"Jul 01, 2016",2014,Curry,9406,17687,412697,3356,18185,46602,75829,300020,24837,4423,20587,1.9,43876,357,1933,4955,8062,31897,2641,470,2189,0.05,0.069,4278,0.455,4199,0.446,117,0.012,806,0.086,4235,0.45,8952,0.952,367,0.039,87,0.009,8952,404765,195835,17225,17629,37941,119799,30284,-401,-5375,8173,
421,"Jul 01, 2016",2014,Deschutes,77357,151287,4835801,40788,180128,349099,757697,3805958,326480,35713,292100,2,62513,527,2329,4513,9795,49200,4220,462,3776,0.06,0.077,34385,0.444,34709,0.449,1242,0.016,6982,0.09,38825,0.502,74117,0.958,2755,0.036,485,0.006,74117,4747745,2654678,206667,212011,474366,881610,493695,-15871,-51274,108138,
422,"Jul 01, 2016",2014,Douglas,41765,84471,1910479,9007,87291,188436,307670,1412625,116004,18861,98037,2,45744,216,2090,4512,7367,33823,2778,452,2347,0.051,0.069,17334,0.415,19145,0.458,641,0.015,4620,0.111,18040,0.432,40665,0.974,931,0.022,169,0.004,40665,1886860,1183742,71028,57569,141070,435609,45810,-10694,-7361,29912,
423,"Jul 01, 2016",2014,Gilliam,757,1514,39229,138,1905,3351,5217,30194,2510,300,2220,2,51822,182,2517,4427,6892,39886,3316,397,2933,0.057,0.074,312,0.412,373,0.493,,,72,0.095,293,0.387,745,0.984,12,0.016,,,745,39059,24117,1194,444,3672,6817,3773,-36,-59,862,"Return Type: Separate (Number) is CJ, Return Type: Separate (%) is CJ, Return Type: Nonresident (Number) is CP, Return Type: Nonresident (%) is CP,"
424,"Jul 01, 2016",2014,Grant,2861,5672,122392,277,6162,12131,20634,93187,7612,1165,6501,2,42780,97,2154,4240,7212,32572,2661,407,2272,0.053,0.07,1197,0.418,1394,0.487,38,0.013,229,0.08,1251,0.437,2788,0.974,57,0.02,16,0.006,2788,120627,77530,4294,3241,10831,29034,6595,-3515,-5006,2378,
425,"Jul 01, 2016",2014,Harney,2818,5885,110477,573,5042,9684,18044,86282,7006,1151,5910,2.1,39204,203,1789,3436,6403,30618,2486,408,2097,0.053,0.068,1125,0.399,1391,0.494,30,0.011,269,0.095,1139,0.404,2727,0.968,72,0.026,19,0.007,2727,109003,73756,3050,2676,11692,23005,4564,-2754,-4544,2442,
426,"Jul 01, 2016",2014,Hood River,10878,23334,596383,5309,23507,34286,83261,486235,40835,5643,35375,2.1,54825,488,2161,3152,7654,44699,3754,519,3252,0.059,0.073,4648,0.427,4601,0.423,126,0.012,1499,0.138,4464,0.41,10504,0.966,271,0.025,103,0.009,10504,587316,390303,33529,22850,32399,77170,53027,-1219,-4689,16054,
427,"Jul 01, 2016",2014,Idaho,12694,29888,330410,1573,13432,12471,54207,285406,22979,3246,19861,2.4,26029,124,1058,983,4270,22484,1810,256,1565,0.06,0.07,4548,0.358,6846,0.539,133,0.01,1160,0.091,6317,0.498,858,0.068,1614,0.127,10222,0.805,858,32902,21410,1224,856,3510,5639,1075,260,-431,642,
428,"Jul 01, 2016",2014,Jackson,90739,179459,4677722,25294,189030,369365,767368,3542686,296903,39054,259882,2,51551,279,2083,4071,8457,39043,3272,430,2864,0.056,0.073,40966,0.451,37608,0.414,1564,0.017,10563,0.116,40560,0.447,87881,0.969,2422,0.027,436,0.005,87881,4619342,2732233,195014,212863,302774,906922,373272,-12011,1275,92998,
429,"Jul 01, 2016",2014,Jefferson,8953,19472,360970,1443,16502,58573,62449,247662,19995,3731,16589,2.2,40318,161,1843,6542,6975,27663,2233,417,1853,0.046,0.067,3462,0.387,3924,0.438,164,0.018,1397,0.156,3571,0.399,8764,0.979,152,0.017,37,0.004,8764,357611,238227,9625,8021,15644,80179,17094,-2197,-2583,6399,
430,"Jul 01, 2016",2014,Josephine,33447,66554,1455150,7457,62496,146527,252916,1058637,86833,13802,73864,2,43506,223,1869,4381,7562,31651,2596,413,2208,0.051,0.07,14490,0.433,14774,0.442,530,0.016,3631,0.109,14509,0.434,32427,0.97,889,0.027,131,0.004,32427,1438095,817585,52280,62659,52153,347266,129833,-3042,7655,28294,
431,"Jul 01, 2016",2014,Klamath,25376,51983,1127478,4547,51964,105851,176138,856193,70244,10550,60327,2,44431,179,2048,4171,6941,33740,2768,416,2377,0.054,0.07,10552,0.416,11147,0.439,394,0.016,3270,0.129,10277,0.405,24618,0.97,629,0.025,129,0.005,24618,1114320,733207,30612,29570,59926,237137,57014,-2814,-10693,19638,
432,"Jul 01, 2016",2014,Lake,2896,5919,125112,695,5901,11611,19433,97728,8016,1212,6852,2,43202,240,2038,4009,6710,33746,2768,418,2366,0.055,0.07,1176,0.406,1420,0.49,43,0.015,257,0.089,1122,0.387,2790,0.963,74,0.026,32,0.011,2790,122878,78451,4886,2085,12798,25774,6948,-689,-4303,3072,
433,"Jul 01, 2016",2014,Lane,151477,286709,8312306,46498,343562,602762,1230822,6340516,534708,66368,471233,1.9,54875,307,2268,3979,8126,41858,3530,438,3111,0.057,0.074,74007,0.489,59303,0.391,2421,0.016,15666,0.103,66576,0.44,146883,0.97,3771,0.025,823,0.005,146883,8226848,5058331,274817,274225,475674,1444908,765189,-13905,99803,152195,
434,"Jul 01, 2016",2014,Lincoln,19760,37340,920965,4466,42002,97333,163148,664081,54700,8947,46115,1.9,46608,226,2126,4926,8257,33607,2768,453,2334,0.05,0.069,9160,0.464,8178,0.414,340,0.017,2071,0.105,8989,0.455,19020,0.963,634,0.032,106,0.005,19020,906314,496927,30673,51410,49531,239451,53747,-1703,4951,18674,
435,"Jul 01, 2016",2014,Linn,48879,101963,2352433,8866,111877,172046,366092,1762104,144675,23568,122083,2.1,48128,181,2289,3520,7490,36050,2960,482,2498,0.052,0.069,20769,0.425,21798,0.446,791,0.016,5494,0.112,21936,0.449,47898,0.98,864,0.018,117,0.002,47898,2335990,1623058,54344,59240,79226,408537,117215,-3687,31248,33190,
436,"Jul 01, 2016",2014,Malheur,9892,22715,392595,2511,16568,30431,61748,307458,24819,6256,18868,2.3,39688,254,1675,3076,6242,31082,2509,632,1907,0.048,0.061,3862,0.39,4403,0.445,99,0.01,1522,0.154,3517,0.356,9520,0.962,249,0.025,123,0.012,9520,386805,259425,10276,14739,24906,69338,32035,-4004,-10722,9187,
437,"Jul 01, 2016",2014,Marion,132602,288621,6865267,29663,294620,459101,1033598,5249191,435799,67327,371658,2.2,51774,224,2222,3462,7795,39586,3287,508,2803,0.054,0.071,56833,0.429,54054,0.408,1968,0.015,19675,0.148,56966,0.43,129902,0.98,2320,0.017,380,0.003,129902,6813296,4549477,167474,179621,333235,1199123,438992,-495,47334,101466,
438,"Jul 01, 2016",2014,Morrow,4401,10872,205458,1350,9285,12990,26437,164410,13421,2233,11274,2.5,46684,307,2110,2952,6007,37357,3049,508,2562,0.055,0.069,1555,0.353,1958,0.445,63,0.014,823,0.187,1547,0.352,4284,0.973,94,0.021,23,0.005,4284,202555,154363,2997,2711,10153,28092,11962,-928,-2863,3932,
439,"Jul 01, 2016",2014,Multnomah,359610,651302,23254939,104777,911830,1003342,3090244,18834490,1621858,155145,1472465,1.8,64667,291,2536,2790,8593,52375,4510,431,4095,0.063,0.078,200443,0.557,116892,0.325,6622,0.018,35509,0.099,155812,0.433,343403,0.955,13914,0.039,2293,0.006,343403,22809086,15886711,778905,985072,1383273,2438376,1621032,-4513,148849,428620,
440,"Jul 01, 2016",2014,Other,70293,136862,1970478,59453,60427,257776,379495,1751081,150498,14622,136467,1.9,28032,846,860,3667,5399,24911,2141,208,1941,0.069,0.078,33641,0.479,31083,0.442,2169,0.031,3384,0.048,32247,0.459,12594,0.179,18901,0.269,38798,0.552,12594,647893,451398,54362,11751,72450,74732,34453,-673,-38654,11926,
441,"Jul 01, 2016",2014,Other Washington,42992,94562,1437439,10794,50944,79577,203793,1270703,106639,8366,98609,2.2,33435,251,1185,1851,4740,29557,2480,195,2294,0.069,0.078,17233,0.401,21405,0.498,589,0.014,3754,0.087,21118,0.491,3379,0.079,6218,0.145,33395,0.777,3379,143474,94152,7081,2854,12705,22835,4709,-84,1733,2511,
442,"Jul 01, 2016",2014,Polk,31734,67450,1756759,5969,79709,142140,278615,1305520,108381,13958,94962,2.1,55359,188,2512,4479,8780,41140,3415,440,2992,0.054,0.073,13072,0.412,14748,0.465,494,0.016,3400,0.107,15576,0.491,30947,0.975,664,0.021,123,0.004,30947,1740761,1147781,40141,48951,56135,367494,97311,-3117,14372,28308,
443,"Jul 01, 2016",2014,Sherman,780,1506,42827,246,2071,3371,5144,33668,2803,307,2507,1.9,54907,315,2656,4322,6595,43164,3594,393,3214,0.059,0.074,366,0.469,348,0.446,15,0.019,50,0.064,311,0.399,763,0.978,17,0.022,,,763,42385,21800,1351,606,2413,7109,7075,3968,41,1977,"Return Type: Nonresident (Number) is CP, Return Type: Nonresident (%) is CP,"
444,"Jul 01, 2016",2014,Tillamook,10982,21676,508984,10639,23532,49607,89205,372773,30600,4723,26063,2,46347,969,2143,4517,8123,33944,2786,430,2373,0.051,0.07,4875,0.444,4930,0.449,159,0.014,1016,0.093,5042,0.459,10696,0.974,251,0.023,35,0.003,10696,503129,290956,17471,22964,33143,126839,25158,1360,4034,18798,
445,"Jul 01, 2016",2014,Umatilla,29281,64654,1420859,8471,63321,107430,192939,1107123,91449,14682,77574,2.2,48525,289,2163,3669,6589,37810,3123,501,2649,0.055,0.07,11821,0.404,11909,0.407,405,0.014,5123,0.175,11407,0.39,28527,0.974,582,0.02,172,0.006,28527,1403974,983349,28926,36437,65686,210465,105848,-7020,4228,23946,
446,"Jul 01, 2016",2014,Union,10710,21765,516799,1847,23951,45818,75730,389554,32000,4667,27528,2,48254,173,2236,4278,7071,36373,2988,436,2570,0.053,0.071,4667,0.436,4950,0.462,186,0.017,900,0.084,4726,0.441,10414,0.972,245,0.023,51,0.005,10414,508833,333485,13242,13611,23031,99583,39236,-4644,1509,10221,
447,"Jul 01, 2016",2014,Wallowa,3172,6119,135104,1008,6440,15322,23144,100258,8168,1291,6921,1.9,42593,318,2030,4830,7296,31607,2575,407,2182,0.051,0.069,1338,0.422,1584,0.499,45,0.014,204,0.064,1468,0.463,3068,0.967,79,0.025,25,0.008,3068,132713,75307,6954,5001,12175,34291,9693,-2603,-3584,4521,
448,"Jul 01, 2016",2014,Wasco,10449,21564,491469,2934,21566,40518,76227,370057,30419,4933,25746,2.1,47035,281,2064,3878,7295,35416,2911,472,2464,0.052,0.07,4542,0.435,4375,0.419,151,0.014,1377,0.132,4310,0.412,10144,0.971,244,0.023,61,0.006,10144,484973,315605,12716,15044,17003,90968,38636,1900,3688,10587,
